Belaydevice_Link,Belaydevice_Brand,Belaydevice_Name,Belaydevice_Price
https://www.backcountry.com/petzl-reverso-3-belay-device,Petzl,Reverso Belay Device,34.95
https://www.backcountry.com/mad-rock-wingman-belay-device,Mad Rock,Wingman Belay Device,13.95
https://www.backcountry.com/beal-birdie-belay-device,Beal,Birdie Belay Device,74.99
https://www.backcountry.com/wild-country-pro-guide-and-synergy-lite-sg-belay-device,Wild Country,Pro Guide Lite Belay Device,29.95
https://www.backcountry.com/mammut-crag-light-belay-device,Mammut,Crag Light Belay Device,20.00
https://www.backcountry.com/petzl-grigri-2-belay-device,Petzl,Grigri Belay Device,109.95
https://www.backcountry.com/black-diamond-atc-pilot,Black Diamond,ATC-Pilot Belay Device,49.95
https://www.backcountry.com/petzl-verso-belay-device,Petzl,Verso Belay Device,24.95
https://www.backcountry.com/black-diamond-big-air-xp-package,Black Diamond,Big Air XP Package,34.95
https://www.backcountry.com/trango-vergo-belay-device,Trango,Vergo Belay Device,99.95
https://www.backcountry.com/black-diamond-atc-xp,Black Diamond,ATC-XP Belay Device,24.95
https://www.backcountry.com/edelrid-jul-2-belay-device,Edelrid,Jul 2 Belay Device,45.95
https://www.backcountry.com/edelrid-mega-jul-belay-device,Edelrid,Mega Jul Belay Device,49.95
https://www.backcountry.com/mammut-smart-2.0-belay-device,Mammut,Smart 2.0 Belay Device,45.00
https://www.backcountry.com/mad-rock-lifeguard,Mad Rock,Lifeguard Belay Device,98.95
https://www.backcountry.com/camp-usa-shell-belay-device,CAMP USA,Shell Belay Device,19.95
https://www.backcountry.com/petzl-stop-descender,Petzl,Stop Descender,149.95
https://www.backcountry.com/camp-usa-otto-standard-belay-device,CAMP USA,Otto Standard Belay Device,18.95
https://www.backcountry.com/black-diamond-super-8-belay-rappel-device,Black Diamond,Super 8 Belay/Rappel Device,19.95
https://www.backcountry.com/edelrid-giga-jul-belay-device,Edelrid,Giga Jul Belay Device,59.95
https://www.backcountry.com/mammut-nordwand-alpine-belay-device,Mammut,Nordwand Alpine Belay Device,35.00
https://www.backcountry.com/black-diamond-atc-belay-device,Black Diamond,ATC Belay Device,21.95
https://www.backcountry.com/petzl-grigri-belay-device,Petzl,Grigri + Belay Device,139.95
https://www.backcountry.com/mammut-smart-2.0-belay-package,Mammut,Smart 2.0 Belay Package,60.00
https://www.backcountry.com/petzl-huit-descender,Petzl,Huit Descender,21.95
https://www.backcountry.com/sterling-rescue-figure-8,Sterling,Rescue Figure 8,34.64
https://www.backcountry.com/black-diamond-atc-guide,Black Diamond,ATC Guide,34.95
https://www.backcountry.com/mad-rock-aviator-belay-device,Mad Rock,Aviator Belay Device,17.95
https://www.backcountry.com/mammut-bionic-alpine-belay-device-mam004d,Mammut,Wall Alpine Belay Device,27.00
https://www.backcountry.com/edelrid-hannibal-belay-device,Edelrid,Hannibal Belay Device,32.95
https://www.backcountry.com/wild-country-revo-belay-device,Wild Country,Revo Belay Device,144.95
https://www.backcountry.com/grivel-scream,Grivel,Scream,29.99
https://www.backcountry.com/trango-aries-belay-device,Trango,Aries Belay Device,24.95
https://www.backcountry.com/edelrid-mega-jul-belay-kit,Edelrid,Mega Jul Belay Kit,72.95
https://www.backcountry.com/ocun-habu-belay-device,Ocun,Habu Belay Device,32.95
https://www.backcountry.com/metolius-upshot-belay-glasses,Metolius,Upshot Belay Glasses,64.95
https://www.backcountry.com/mammut-smarter-belay-device,Mammut,Smarter Belay Device,20.00
https://www.backcountry.com/dmm-chicane-belay-device,DMM,Pivot Belay Device,36.95
https://www.backcountry.com/edelrid-micro-jul-belay-device,Edelrid,Micro Jul Belay Device,49.95
https://www.backcountry.com/edelrid-ohm-assisted-braking-resistor,Edelrid,Ohm Assisted Braking Resistor,149.50
https://www.backcountry.com/dmm-pivot-phantom-hms-carabiner-belay-set,DMM,Pivot Belay Package,49.95
https://www.backcountry.com/grivel-vlad,Grivel,Vlad Locking Carabiner,39.99
https://www.backcountry.com/black-diamond-big-air-pilot-package,Black Diamond,Big Air Pilot Package,59.95
https://www.backcountry.com/black-diamond-atc-alpine-guide,Black Diamond,ATC - Alpine Guide,34.95
https://www.backcountry.com/camp-usa-matik-belay-device,CAMP USA,Matik Belay Device,219.95
