Statistic,Brand,BelayDevice Price,Price,BelayDevice Name
Lowest Cost,Mad Rock,Wingman Belay Device,13.95,
Highest Cost,CAMP USA,Matik Belay Device,219.95,
Average Cost,,,55.23133333333331,
Brand Average Price,Beal,74.99,,
Brand Average Price,Black Diamond,35.2,,
Brand Average Price,CAMP USA,86.28333333333332,,
Brand Average Price,DMM,43.45,,
Brand Average Price,Edelrid,65.88571428571429,,
Brand Average Price,Grivel,34.99,,
Brand Average Price,Mad Rock,43.61666666666667,,
Brand Average Price,Mammut,34.5,,
Brand Average Price,Metolius,64.95,,
Brand Average Price,Ocun,32.95,,
Brand Average Price,Petzl,80.28333333333333,,
Brand Average Price,Sterling,34.64,,
Brand Average Price,Trango,62.45,,
Brand Average Price,Wild Country,87.44999999999999,,
