Statistic,Brand,Chalk Price,Price,Chalk Name
Lowest Cost,CAMP USA,Block Chalk,2.95,
Highest Cost,Mad Rock,Hanger Chalk Pot,44.95,
Average Cost,,,14.193773584905662,
Brand Average Price,Black Diamond,,17.394444444444446,
Brand Average Price,CAMP USA,,6.95,
Brand Average Price,Evolv,,17.5,
Brand Average Price,Friction Labs,,15.992857142857144,
Brand Average Price,Mad Rock,,44.95,
Brand Average Price,Mammut,,15.13125,
Brand Average Price,Metolius,,8.528571428571428,
Brand Average Price,Petzl,,10.45,
Brand Average Price,Send Climbing,,17.94,
Brand Average Price,So Ill Holds,,17.127142857142857,
Brand Average Price,Trango,,8.213333333333333,
Brand Average Price,Wild Country,,4.95,
