Statistic,Brand,Harness Price,Price,Harness Name
Lowest Cost,Energy CR Harness,Energy CR Harness,24.98,
Highest Cost,Petzl,Canyon Guide Harness,249.95,
Average Cost,,,89.77983050847463,
Brand Average Price,Beal,,93.29666666666667,
Brand Average Price,Black Diamond,,88.7171875,
Brand Average Price,Blue Ice,,91.95,
Brand Average Price,CAMP USA,,57.23222222222223,
Brand Average Price,Edelrid,,95.04181818181819,
Brand Average Price,Mad Rock,,85.61666666666667,
Brand Average Price,Mammut,,88.25923076923075,
Brand Average Price,Metolius,,138.28333333333333,
Brand Average Price,Misty Mountain,,119.95,
Brand Average Price,Ocun,,86.702,
Brand Average Price,Petzl,,88.64565217391305,
Brand Average Price,Trango,,94.95,
Brand Average Price,Wild Country,,87.45,
